연도,지자체,전기 사용량
2018,경북 울릉군,485542
2017,경북 울릉군,414541
2019,경북 울진군,3532137
2017,경북 울진군,4247208
2018,경북 울진군,3843766
2019,경북 의성군,10975748
2018,경북 의성군,11915745
2017,경북 의성군,11346711
2019,경북 청도군,8408847
2018,경북 청도군,8728438
2017,경북 청도군,8639781
2019,경북 청송군,6531775
2017,경북 청송군,6733502
2018,경북 청송군,6801337
2019,경북 칠곡군,23576427
2017,경북 칠곡군,24845566
2018,경북 칠곡군,26860384
2019,경북 포항시,202733083
2017,경북 포항시,222427141
2018,경북 포항시,206797563
2019,광주 광산구,500616635
2017,광주 광산구,530304445
2018,광주 광산구,519107949
2019,광주 남구,201209537
2017,광주 남구,213467482
2018,광주 남구,213571250
2019,광주 동구,150788161
2017,광주 동구,160611528
2018,광주 동구,161796384
2019,광주 북구,529997195
2017,광주 북구,578901343
2018,광주 북구,567002294
2019,광주 서구,281254096
2017,광주 서구,305315042
2018,광주 서구,300837531
2019,대구 남구,37156902
2017,대구 남구,42547671
2018,대구 남구,40280292
2019,대구 달서구,155185212
2017,대구 달서구,128242014
2018,대구 달서구,135480207
2019,대구 달성군,88044043
2018,대구 달성군,94653866
2017,대구 달성군,99903047
2019,대구 동구,93215253
2017,대구 동구,103935821
2018,대구 동구,98271471
2019,대구 북구,143898487
2018,대구 북구,147263737
2017,대구 북구,146507406
2019,대구 서구,39340291
2017,대구 서구,43643541
2018,대구 서구,42578168
2019,대구 수성구,126677925
2017,대구 수성구,129476361
2018,대구 수성구,131355300
2019,대구 중구,94580190
2017,대구 중구,102346957
2018,대구 중구,103038439
2019,대전 대덕구,32754957
2017,대전 대덕구,39609807
2018,대전 대덕구,34473200
2019,대전 동구,44002560
2017,대전 동구,85128180
2018,대전 동구,46421834
2019,대전 서구,167952146
2017,대전 서구,157194260
2018,대전 서구,166696494
2019,대전 유성구,92697253
2017,대전 유성구,93251277
2018,대전 유성구,99644698.2
2019,대전 중구,74153024
2018,대전 중구,86147829
2017,대전 중구,96590801
2019,부산 강서구,40710375
2017,부산 강서구,36551054
2018,부산 강서구,39510281
2019,부산 금정구,34860128
2017,부산 금정구,32405544
2018,부산 금정구,34988044
2019,부산 기장군,5701523
2017,부산 기장군,5488198.8
2018,부산 기장군,5862957
2019,부산 남구,37182849
2017,부산 남구,41196251
2018,부산 남구,38151200
2019,부산 동구,30972485
2018,부산 동구,31688790
2017,부산 동구,32597587
2019,부산 동래구,20720250
2018,부산 동래구,23022236
2017,부산 동래구,28832398
2019,부산 부산진구,74992498
2017,부산 부산진구,76015582
2018,부산 부산진구,77088065
